nom_citoyen,prenom_citoyen,adresse,telephone,email,score_engagement_ecologique,preferences_mobilite
Slimani,Samir,"86 Rue Tahar Sfar, Sousse",+216 87 264 126,samir.slimani@email.tn,102,transport en commun uniquement
Chaabane,Tarek,"98 Avenue de la Corniche, Sousse",+216 79 739 633,tarek.chaabane@email.tn,116,"marche, vélo"
Chaabane,Mohamed,"21 Avenue Hedi Chaker, Sousse",+216 91 902 251,mohamed.chaabane@email.tn,123,"vélo, transport en commun"
Rezgui,Sirine,"126 Rue Tahar Sfar, Sousse",+216 77 365 414,sirine.rezgui@email.tn,159,"voiture électrique, vélo"
Ferchichi,Samir,"122 Avenue Habib Bourguiba, Sousse",+216 45 371 684,samir.ferchichi@email.tn,221,"covoiturage, transport en commun"
Slimani,Fatma,"146 Boulevard du 7 Novembre, Sousse",+216 92 499 754,fatma.slimani@email.tn,129,transport en commun uniquement
Ferchichi,Ali,"10 Rue Amilcar, Sousse",+216 32 109 859,ali.ferchichi@email.tn,66,"vélo électrique, métro"
Rezgui,Nabil,"26 Avenue de la Corniche, Sousse",+216 98 651 370,nabil.rezgui@email.tn,73,"covoiturage, transport en commun"
Maalej,Fatma,"93 Rue Tahar Sfar, Sousse",+216 34 892 497,fatma.maalej@email.tn,297,"voiture électrique, vélo"
Ferchichi,Mehdi,"97 Avenue Léopold Senghor, Sousse",+216 36 750 590,mehdi.ferchichi@email.tn,198,"marche, transport en commun"
Ben Ahmed,Olfa,"51 Avenue de la Corniche, Sousse",+216 76 874 395,olfa.benahmed@email.tn,88,"covoiturage, transport en commun"
Gharbi,Mehdi,"53 Rue Amilcar, Sousse",+216 79 439 919,mehdi.gharbi@email.tn,184,transport en commun uniquement
Ben Ahmed,Samir,"40 Rue Amilcar, Sousse",+216 66 809 271,samir.benahmed@email.tn,254,"covoiturage, transport en commun"
Hamdi,Olfa,"139 Rue Tahar Sfar, Sousse",+216 44 213 269,olfa.hamdi@email.tn,245,transport en commun uniquement
Maalej,Ahmed,"90 Avenue Hedi Chaker, Sousse",+216 39 332 426,ahmed.maalej@email.tn,289,"covoiturage, transport en commun"
Sassi,Nadia,"50 Avenue Hedi Chaker, Sousse",+216 95 446 930,nadia.sassi@email.tn,278,"trottinette électrique, bus"
Jebali,Marwa,"32 Boulevard du 7 Novembre, Sousse",+216 50 432 682,marwa.jebali@email.tn,112,"marche, transport en commun"
Jebali,Rami,"56 Rue du 2 Mars, Sousse",+216 33 376 272,rami.jebali@email.tn,125,"covoiturage, transport en commun"
Slimani,Hana,"91 Avenue Hedi Chaker, Sousse",+216 29 517 330,hana.slimani@email.tn,229,"vélo, transport en commun"
